,Name,Rank,True_Rank,Score,Location,Tuition,Total_Enrollment,Acceptance_Rate,Retention_Rate,Graduation_Rate,X,Ranking_Value,Return_Value,Total_Cost,Duration_Value,Loan
162,University of Dayton,100,103,45 out of 100.,"Dayton, OH","$37,230","10,835",0.52,0.88,0.77,163,224,392000,181000,4 Years,40000
163,University of Denver,88,88,48 out of 100.,"Denver, CO","$42,090","11,778",0.77,0.87,0.78,325,478,279200,213800,4 Years,31960
164,University of Florida,48,48,60 out of 100.,"Gainesville, FL","in-state: $6,313, out-of-state: $28,591","49,878",0.47,0.96,0.87,107,143,456800,76200,4 Years,22720
165,University of Georgia,64,62,56 out of 100.,"Athens, GA","in-state: $10,836, out-of-state: $29,046","34,536",0.55,0.94,0.83,228,330,329100,83900,4 Years,23840
166,University of Hawaii at Manoa,164,168,29 out of 100.,"Honolulu, HI","in-state: $10,620, out-of-state: $29,412","20,006",0.8,0.78,0.57,423,640,225300,87700,5 Years,25920
167,University of Houston,185,189,26 out of 100.,"Houston, TX","in-state: $10,518, out-of-state: $24,378","39,540",0.58,0.83,0.48,84,113,487700,85300,5 Years,24640
168,University of Idaho,161,166,30 out of 100.,"Moscow, ID","in-state: $6,784, out-of-state: $20,314","11,834",0.65,0.79,0.54,180,254,375900,77100,5 Years,22480
169,University of Illinois at Chicago,148,149,34 out of 100.,"Chicago, IL","in-state: $13,640, out-of-state: $26,030","27,589",0.71,0.8,0.57,166,227,390300,112700,5 Years,26360
170,University of Illinois at Urbana-Champaign,45,42,62 out of 100.,"Champaign, IL","in-state: $15,602, out-of-state: $30,228","44,942",0.62,0.94,0.84,59,72,551200,111800,4 Years,26840
171,University of Iowa,72,71,52 out of 100.,"Iowa City, IA","in-state: $8,079, out-of-state: $27,409","31,065",0.8,0.86,0.7,211,300,349000,84000,4 Years,28040
172,University of Kansas,103,106,44 out of 100.,"Lawrence, KS","in-state: $10,448, out-of-state: $25,731","26,968",0.88,0.8,0.62,331,485,276800,86200,5 Years,26680
173,University of Kentucky,128,129,39 out of 100.,"Lexington, KY","in-state: $10,616, out-of-state: $22,888","28,435",0.69,0.82,0.6,268,395,303100,89900,5 Years,29360
174,University of La Verne,162,166,30 out of 100.,"La Verne, CA","$36,744","5,111",0.34,0.85,0.59,614,938,138600,194400,4 Years,27760
175,University of Louisiana,244,RNP,U.S. News calculated a numerical rank but does not publish it.,"Lafayette, LA","in-state: $6,948, out-of-state: $19,348","16,646",0.593,0.74,0.45,478,725,198400,64600,5 Years,19880
176,University of Louisville,157,161,31 out of 100.,"Louisville, KY","in-state: $10,432, out-of-state: $24,320","21,447",0.71,0.78,0.53,422,638,225700,87300,5 Years,24240
177,University of Maine at Orono,174,173,28 out of 100.,"Orono, ME","in-state: $10,604, out-of-state: $28,484","11,247",0.83,0.79,0.56,368,545,260200,92000,4 Years,37240
178,University of Maryland - College Park,65,62,56 out of 100.,"College Park, MD","in-state: $9,427, out-of-state: $29,720","37,272",0.47,0.95,0.84,53,64,561000,92000,4 Years,29000
179,"University of Maryland, Baltimore County",149,149,34 out of 100.,"Baltimore, MD","in-state: $10,068, out-of-state: $21,642","13,908",0.63,0.86,0.65,112,151,448200,94800,5 Years,28120
180,University of Massachusetts,154,156,32 out of 100.,"Lowell, MA","in-state: $12,447, out-of-state: $19,560","16,932",0.64,0.81,0.54,64,77,545400,97600,5 Years,28080
181,University of Memphis,246,RNP,U.S. News calculated a numerical rank but does not publish it.,"Memphis, TN","in-state: $8,619, out-of-state: $13,275","21,478",0.732,0.77,0.44,485,737,194300,88700,5 Years,22440
182,University of Miami,49,48,60 out of 100.,"Coral Gables, FL","$44,350","16,935",0.41,0.91,0.82,409,617,231300,231700,4 Years,29440
183,University of Michigan - Ann Arbor,28,29,72 out of 100.,"Ann Arbor, MI","in-state: $13,977, out-of-state: $41,811","43,710",0.33,0.97,0.9,65,79,541500,101500,4 Years,28240
184,University of Minnesota - Twin Cities,73,71,52 out of 100.,"Minneapolis, MN","in-state: $13,626, out-of-state: $20,876","51,526",0.44,0.9,0.75,88,117,485500,97500,4 Years,27920
185,University of Mississippi,150,149,34 out of 100.,"University, MS","in-state: $7,096, out-of-state: $19,144","19,431",0.59,0.83,0.58,322,474,280000,83000,4 Years,30480
186,University of Missouri - Columbia,95,99,46 out of 100.,"Columbia, MO","in-state: $9,433, out-of-state: $24,460","34,658",0.79,0.84,0.7,198,279,364500,88500,4 Years,27280
187,University of Missouri - Kansas City,186,189,26 out of 100.,"Kansas City, MO","in-state: $9,582, out-of-state: $22,641","15,746",0.65,0.73,0.51,314,463,283600,107700,5 Years,26040
188,University of Missouri - St. Louis Campus,247,RNP,U.S. News calculated a numerical rank but does not publish it.,"St. Louis, MO","in-state: $9,474, out-of-state: $24,795","16,814",0.742,0.76,0.46,418,629,229200,103800,5 Years,22280
189,University of Montana,193,194,25 out of 100.,"Missoula, MT","in-state: $6,330, out-of-state: $23,146","12,058",0.96,0.73,0.48,565,857,158500,74500,5 Years,24480
190,University of Nebraska - Lincoln,96,99,46 out of 100.,"Lincoln, NE","in-state: $8,060, out-of-state: $21,388","24,445",0.64,0.84,0.67,227,329,329600,83400,5 Years,23720
191,University of Nebraska at Omaha,248,RNP,U.S. News calculated a numerical rank but does not publish it.,"Omaha, NE","in-state: $6,750, out-of-state: $18,070","15,227",0.708,0.73,0.42,505,764,185800,77200,5 Years,20640
192,University of Nevada - Las Vegas,249,RNP,U.S. News calculated a numerical rank but does not publish it.,"Las Vegas, NV","in-state: $6,690, out-of-state: $20,600","27,858",0.851,0.77,0.43,199,280,363700,89300,5 Years,22400
193,University of Nevada - Reno,194,194,25 out of 100.,"Reno, NV","in-state: $6,415, out-of-state: $20,325","18,776",0.84,0.79,0.51,196,277,364700,88300,5 Years,35680
194,University of New Hampshire,97,99,46 out of 100.,"Durham, NH","in-state: $16,552, out-of-state: $29,532","14,942",0.78,0.87,0.8,246,359,317600,115500,4 Years,35760
195,University of New Mexico,187,189,26 out of 100.,"Albuquerque, NM","in-state: $6,846, out-of-state: $20,688","27,337",0.57,0.77,0.48,307,448,287500,75500,5 Years,21200
196,University of New Orleans,250,RNP,U.S. News calculated a numerical rank but does not publish it.,"New Orleans, LA","in-state: $7,482, out-of-state: $21,092","9,323",0.504,0.66,0.32,260,383,309300,73700,5 Years,19800
197,University of North Carolina at Chapel Hill,29,30,71 out of 100.,"Chapel Hill, NC","in-state: $8,374, out-of-state: $33,624","29,127",0.27,0.97,0.9,263,388,304300,88700,4 Years,21400
198,University of North Carolina at Charlotte,197,201,24 out of 100.,"Charlotte, NC","in-state: $6,179, out-of-state: $18,708","26,571",0.63,0.78,0.54,156,210,399900,73100,5 Years,24080
199,University of North Carolina at Greensboro,183,181,27 out of 100.,"Greensboro, NC","in-state: $6,442, out-of-state: $21,304","17,707",0.58,0.76,0.55,675,1038,99600,70400,5 Years,24520
200,University of North Dakota,165,168,29 out of 100.,"Grand Forks, ND","in-state: $7,508, out-of-state: $17,794","15,143",0.71,0.76,0.55,239,347,322900,80100,5 Years,33240
201,University of North Texas,252,RNP,U.S. News calculated a numerical rank but does not publish it.,"Denton, TX","in-state: $9,706, out-of-state: $20,566","36,168",0.615,0.77,0.46,283,418,296600,76400,5 Years,23080
202,University of Northern Colorado,251,RNP,U.S. News calculated a numerical rank but does not publish it.,"Greeley, CO","in-state: $7,573, out-of-state: $18,817","12,084",0.696,0.69,0.46,604,925,142500,78500,5 Years,26040
203,University of Notre Dame,16,16,84 out of 100.,"Notre Dame, IN","$46,237","12,124",0.22,0.98,0.95,62,75,546600,226400,4 Years,25360
204,University of Oklahoma,104,106,44 out of 100.,"Norman, OK","in-state: $7,695, out-of-state: $20,469","30,597",0.8,0.84,0.66,139,188,413100,89900,5 Years,28840
205,University of Oregon,105,106,44 out of 100.,"Eugene, OR","in-state: $9,918, out-of-state: $30,888","24,473",0.74,0.86,0.67,339,497,272400,90600,4 Years,28480
206,University of Pennsylvania,8,8,92 out of 100.,"Philadelphia, PA","$47,668","21,358",0.12,0.98,0.96,25,31,659000,234000,4 Years,27760
207,University of Pittsburgh - Main Campus,66,62,56 out of 100.,"Pittsburgh, PA","in-state: $17,772, out-of-state: $28,168","28,649",0.55,0.92,0.8,216,310,342200,120800,4 Years,36640
208,University of Rhode Island,158,161,31 out of 100.,"Kingston, RI","in-state: $12,506, out-of-state: $28,072","16,387",0.76,0.81,0.6,189,264,369900,103100,4 Years,25520
209,University of Rochester,33,33,67 out of 100.,"Rochester, NY","$46,960","11,020",0.36,0.96,0.85,298,438,291000,232000,4 Years,26080
210,University of San Diego,93,95,47 out of 100.,"San Diego, CA","$42,908","8,321",0.49,0.89,0.75,304,445,289400,223600,4 Years,32800
211,University of San Francisco,106,106,44 out of 100.,"San Francisco, CA","$41,450","10,130",0.61,0.86,0.69,158,212,399700,223300,4 Years,34760
212,University of South Alabama,253,RNP,U.S. News calculated a numerical rank but does not publish it.,"Mobile, AL","in-state: $6,948, out-of-state: $13,596","15,065",0.86,0.66,0.33,296,435,291300,71700,5 Years,31360
213,University of South Carolina - Main Campus,109,113,43 out of 100.,"Columbia, SC","in-state: $11,158, out-of-state: $29,440","31,964",0.64,0.87,0.73,396,594,239100,93900,4 Years,28000
214,University of South Dakota,166,168,29 out of 100.,"Vermillion, SD","in-state: $8,022, out-of-state: $10,104","10,235",0.88,0.76,0.56,550,836,164000,76100,5 Years,27040
215,University of South Florida - Main Campus,159,161,31 out of 100.,"Tampa, FL","in-state: $6,410, out-of-state: $17,325","41,428",0.45,0.89,0.63,365,539,261500,81500,5 Years,28640
216,University of Southern California,25,25,75 out of 100.,"Los Angeles, CA","$48,280","41,368",0.2,0.97,0.91,168,231,387500,235500,4 Years,27600
217,University of Southern Mississippi,254,RNP,U.S. News calculated a numerical rank but does not publish it.,"Hattiesburg, MS","in-state: $6,744, out-of-state: $15,024","15,249",0.663,0.74,0.45,608,928,141700,75300,5 Years,26880
218,"University of St. Thomas - St Paul, MN",110,113,43 out of 100.,"St. Paul, MN","$34,442","10,221",0.86,0.88,0.75,289,425,294200,188800,4 Years,41200
219,University of Tennessee,107,106,44 out of 100.,"Knoxville, TN","in-state: $11,246, out-of-state: $29,696","30,030",0.73,0.86,0.68,235,341,325200,97800,5 Years,24560
220,University of Texas,52,53,59 out of 100.,"Austin, TX","in-state: $9,798, out-of-state: $34,722","52,059",0.4,0.93,0.79,74,90,522700,100300,4 Years,23960
221,University of Texas at Arlington,255,RNP,U.S. News calculated a numerical rank but does not publish it.,"Arlington, TX","in-state: $8,878, out-of-state: $20,274","33,329",0.6,0.74,0.44,132,180,426400,86600,5 Years,23840
222,University of Texas at Dallas,143,145,35 out of 100.,"Richardson, TX","in-state: $11,806, out-of-state: $30,378","21,193",0.59,0.86,0.63,113,152,448100,94900,4 Years,22800
223,University of Texas at El Paso,256,RNP,U.S. News calculated a numerical rank but does not publish it.,"El Paso, TX","in-state: $7,018, out-of-state: $17,639",,0.998,0.73,0.37,347,510,268800,84200,5 Years,18120
224,University of Texas at San Antonio,257,RNP,U.S. News calculated a numerical rank but does not publish it.,"San Antonio, TX","in-state: $8,737, out-of-state: $20,050","28,623",0.62,0.62,0.3,293,430,293000,80000,5 Years,25080
225,University of the Pacific,115,116,42 out of 100.,"Stockton, CA","$41,342","6,421",0.73,0.86,0.63,171,237,383500,214800,4 Years,23480
226,University of Toledo,258,RNP,U.S. News calculated a numerical rank but does not publish it.,"Toledo, OH","in-state: $9,280, out-of-state: $19,158","20,782",0.907,0.65,0.46,257,378,310500,92500,5 Years,26240
227,University of Tulsa,89,88,48 out of 100.,"Tulsa, OK","$34,704","4,597",0.41,0.88,0.69,240,347,322900,190100,4 Years,30480
228,University of Utah,129,129,39 out of 100.,"Salt Lake City, UT","in-state: $7,935, out-of-state: $25,267","32,077",0.82,0.87,0.6,125,171,436600,86400,5 Years,27680
229,University of Vermont,82,85,49 out of 100.,"Burlington, VT","in-state: $16,226, out-of-state: $37,874","12,723",0.78,0.86,0.76,273,401,301800,111200,4 Years,27000
230,University of Virginia,23,23,76 out of 100.,"Charlottesville, VA","in-state: $12,998, out-of-state: $42,184","23,464",0.3,0.97,0.93,34,43,615100,97900,4 Years,29760
231,University of Washington,50,48,60 out of 100.,"Seattle, WA","in-state: $12,394, out-of-state: $33,513","43,762",0.55,0.93,0.82,72,88,523800,99200,4 Years,22520
232,University of West Florida,259,RNP,U.S. News calculated a numerical rank but does not publish it.,"Pensacola, FL","in-state: $8,942, out-of-state: $21,824","12,588",0.481,0.72,0.42,476,721,199900,73100,5 Years,23240
233,University of Wisconsin,46,47,61 out of 100.,"Madison, WI","in-state: $10,410, out-of-state: $26,660","43,275",0.51,0.95,0.84,102,133,467100,65900,5 Years,25000
234,University of Wyoming,160,161,31 out of 100.,"Laramie, WY","in-state: $4,646, out-of-state: $14,876","12,778",0.96,0.74,0.54,172,237,383500,69500,5 Years,25680
235,Utah State University - Main Campus,195,194,25 out of 100.,"Logan, UT","in-state: $6,384, out-of-state: $18,491","27,812",0.99,0.7,0.51,160,218,396400,66600,5 Years,22320
236,Vanderbilt University,17,16,84 out of 100.,"Nashville, TN","$43,838","12,757",0.13,0.97,0.93,56,68,556800,236200,4 Years,32680
237,Virginia Commonwealth University,155,156,32 out of 100.,"Richmond, VA","in-state: $12,398, out-of-state: $29,847","31,288",0.64,0.86,0.57,474,718,201100,101900,5 Years,28880
238,Virginia Polytechnic Institute and State University,74,71,52 out of 100.,"Blacksburg, VA","in-state: $12,017, out-of-state: $27,444","31,205",0.7,0.92,0.83,57,70,555000,98000,4 Years,31000
239,Wake Forest University,27,27,73 out of 100.,"Winston-Salem, NC","$46,200","7,602",0.35,0.94,0.86,141,190,411000,228900,4 Years,29640
240,Washington State University,136,138,37 out of 100.,"Pullman, WA","in-state: $12,428, out-of-state: $25,510","27,642",0.82,0.82,0.65,174,243,379500,103500,4 Years,26080
241,Washington University in St. Louis,13,14,86 out of 100.,"St. Louis, MO","$46,467","14,032",0.16,0.97,0.94,80,103,495000,238000,4 Years,24760
242,"Wayne State University - Detroit, MI",261,RNP,U.S. News calculated a numerical rank but does not publish it.,"Detroit, MI","in-state: $12,350, out-of-state: $26,592","27,897",0.762,0.77,0.32,333,487,275500,87500,5 Years,24320
243,West Virginia University,167,168,29 out of 100.,"Morgantown, WV","in-state: $6,960, out-of-state: $20,424","29,466",0.85,0.78,0.57,183,257,373500,69500,5 Years,30040
244,Western Michigan University,175,173,28 out of 100.,"Kalamazoo, MI","in-state: $10,685, out-of-state: $24,917","24,294",0.83,0.74,0.55,288,423,294600,88400,5 Years,31240
245,Wichita State University,262,RNP,U.S. News calculated a numerical rank but does not publish it.,"Wichita, KS","in-state: $7,267, out-of-state: $16,697","14,550",0.958,0.72,0.46,329,483,277200,65800,5 Years,21920
246,Widener University - Main Campus,188,189,26 out of 100.,"Chester, PA","$39,830","6,311",0.67,0.73,0.56,232,337,326200,206800,4 Years,39480
247,Worcester Polytechnic Institute,68,68,55 out of 100.,"Worcester, MA","$42,778","6,296",0.52,0.96,0.81,14,16,722100,220900,4 Years,43600
248,Wright State University - Main Campus,263,RNP,U.S. News calculated a numerical rank but does not publish it.,"Dayton, OH","in-state: $8,730, out-of-state: $16,910","16,656",0.963,0.63,0.41,243,352,318800,94200,5 Years,28920
249,Yale University,2,3,98 out of 100.,"New Haven, CT","$45,800","12,109",0.07,0.99,0.98,49,60,578500,234500,4 Years,19160
