,Name,Rank,True_Rank,Score,Location,Tuition,Total_Enrollment,Acceptance_Rate,Retention_Rate,Graduation_Rate,X,Ranking_Value,Return_Value,Total_Cost,Duration_Value,Loan
32,DePaul University,118,121,41 out of 100.,"Chicago, IL","$35,071","24,414",0.6,0.86,0.7,204,287,357000,186000,4 Years,27520
33,Drexel University,90,95,47 out of 100.,"Philadelphia, PA","$47,051","23,620",0.82,0.85,0.7,76,96,513300,219700,5 Years,45200
34,Duke University,7,8,92 out of 100.,"Durham, NC","$47,488","15,465",0.12,0.97,0.94,31,40,619200,233800,4 Years,21760
35,Duquesne University,112,116,42 out of 100.,"Pittsburgh, PA","$32,636","9,904",0.74,0.87,0.76,342,502,270600,167500,4 Years,37440
36,East Carolina University,205,RNP,U.S. News calculated a numerical rank but does not publish it.,"Greenville, NC","in-state: $6,143, out-of-state: $21,340","26,887",0.73,0.8,0.57,503,761,186300,76700,5 Years,27800
37,East Tennessee State University,206,RNP,U.S. News calculated a numerical rank but does not publish it.,"Johnson City, TN","in-state: $7,985, out-of-state: $17,917",,0.89,0.69,0.41,471,711,202600,90400,5 Years,22440
38,Emory University,20,21,77 out of 100.,"Atlanta, GA","$45,008","14,513",0.27,0.95,0.91,150,202,405400,227600,4 Years,28920
39,Florida Agricultural and Mechanical,207,RNP,U.S. News calculated a numerical rank but does not publish it.,"Tallahassee, FL","in-state: $5,785, out-of-state: $17,725","10,743",0.45,0.81,0.41,326,479,279100,73900,5 Years,26840
40,Florida Atlantic University,208,RNP,U.S. News calculated a numerical rank but does not publish it.,"Boca Raton, FL","in-state: $6,039, out-of-state: $21,575","30,759",0.48,0.78,0.41,358,527,264200,78800,5 Years,23400
41,Florida Institute of Technology,171,173,28 out of 100.,"Melbourne, FL","$37,990","5,644",0.61,0.79,0.54,55,66,559100,203900,4 Years,29520
42,Florida International University,209,RNP,U.S. News calculated a numerical rank but does not publish it.,"Miami, FL","in-state: $6,496, out-of-state: $18,895","47,736",0.43,0.83,0.52,272,400,302400,90600,5 Years,20960
43,Florida State University,91,95,47 out of 100.,"Tallahassee, FL","in-state: $6,507, out-of-state: $21,673","40,909",0.57,0.92,0.77,274,405,301400,81600,4 Years,27400
44,Fordham University,57,58,57 out of 100.,"New York, NY","$43,577","15,097",0.47,0.89,0.8,109,146,453300,239700,4 Years,29320
45,George Mason University,133,138,37 out of 100.,"Fairfax, VA","in-state: $10,382, out-of-state: $29,960","33,917",0.62,0.87,0.67,70,86,530600,92400,4 Years,28880
46,George Washington University,53,54,58 out of 100.,"Washington, DC","$48,760","25,264",0.34,0.93,0.81,157,211,399800,233200,4 Years,29720
47,Georgetown University - Washington D.C.,21,21,77 out of 100.,"Washington, DC","$46,744","17,849",0.17,0.96,0.92,87,116,486300,236700,4 Years,24040
48,Georgia Institute of Technology,35,35,66 out of 100.,"Atlanta, GA","in-state: $11,394, out-of-state: $30,698","21,471",0.41,0.95,0.82,7,8,796300,86700,5 Years,30600
49,Georgia Southern University,210,RNP,U.S. News calculated a numerical rank but does not publish it.,"Statesboro, GA","in-state: $7,190, out-of-state: $20,086","20,517",0.57,0.79,0.5,387,574,246700,86300,5 Years,23800
50,Georgia State University,211,RNP,U.S. News calculated a numerical rank but does not publish it.,"Atlanta, GA","in-state: $10,240, out-of-state: $28,450","32,168",0.54,0.83,0.53,349,512,268300,94700,5 Years,24200
